<DATE>,<OPEN>
08.03.2016,61.5000
07.03.2016,61.9000
04.03.2016,61.2000
03.03.2016,60.3500
02.03.2016,59.1000
01.03.2016,59.3600
26.02.2016,59.0000
24.02.2016,56.8900
23.02.2016,58.6000
22.02.2016,58.4900
19.02.2016,57.6500
18.02.2016,57.9500
17.02.2016,58.0500
12.02.2016,52.0800
11.02.2016,52.2000
10.02.2016,54.1500
09.02.2016,54.4000
08.02.2016,54.6500
05.02.2016,56.2000
04.02.2016,54.7500
03.02.2016,52.4200
02.02.2016,52.9750
29.01.2016,53.0100
28.01.2016,52.5200
26.01.2016,52.7000
22.01.2016,53.3050
21.01.2016,51.2650
20.01.2016,49.7000
19.01.2016,51.5500
14.01.2016,51.6500
13.01.2016,52.7000
11.01.2016,52.7500
08.01.2016,53.6000
07.01.2016,53.1000
06.01.2016,53.7000
05.01.2016,55.0000
04.01.2016,55.5000
31.12.2015,56.7000
30.12.2015,58.2500
29.12.2015,59.0000
23.12.2015,58.2500
21.12.2015,56.3500
18.12.2015,55.7300
17.12.2015,58.1500
16.12.2015,58.1000
15.12.2015,57.4000
14.12.2015,57.5000
11.12.2015,58.9000
10.12.2015,59.7500
07.12.2015,60.3900
03.12.2015,59.8750
02.12.2015,60.1500
24.11.2015,60.7500
23.11.2015,61.4000
20.11.2015,61.5900
19.11.2015,62.4000
18.11.2015,60.9500
17.11.2015,61.1500
16.11.2015,60.8500
12.11.2015,60.0400
11.11.2015,61.7000
05.11.2015,61.3000
04.11.2015,60.7500
03.11.2015,60.3200
02.11.2015,60.6500
29.10.2015,59.0500
28.10.2015,60.1000
27.10.2015,58.9000
26.10.2015,60.6000
23.10.2015,60.0400
22.10.2015,58.4000
21.10.2015,57.5000
20.10.2015,56.3900
19.10.2015,56.2400
16.10.2015,56.8500
15.10.2015,58.0500
14.10.2015,57.4600
13.10.2015,58.8900
12.10.2015,59.4400
09.10.2015,60.5500
08.10.2015,57.9000
07.10.2015,59.0500
06.10.2015,58.4350
05.10.2015,57.0000
02.10.2015,54.5000
01.10.2015,54.8600
29.09.2015,55.5800
28.09.2015,55.0800
25.09.2015,57.1900
24.09.2015,56.0900
23.09.2015,57.3000
22.09.2015,56.9000
21.09.2015,59.7400
18.09.2015,60.4800
17.09.2015,62.9000
16.09.2015,63.5900
11.09.2015,62.3000
10.09.2015,62.2700
09.09.2015,63.2000
08.09.2015,62.6200
04.09.2015,61.1500
03.09.2015,61.9000
02.09.2015,62.0000
01.09.2015,61.5400
31.08.2015,63.3500
27.08.2015,62.3300
24.08.2015,62.9001
21.08.2015,63.1500
20.08.2015,63.6500
19.08.2015,64.5900
17.08.2015,67.2500
14.08.2015,66.9200
13.08.2015,67.0400
12.08.2015,68.4500
10.08.2015,71.7000
07.08.2015,70.5700
04.08.2015,69.7000
03.08.2015,69.4500
29.07.2015,69.8000
22.07.2015,69.0000
21.07.2015,70.0000
17.07.2015,69.0500
16.07.2015,69.0500
15.07.2015,68.6500
13.07.2015,70.1500
09.07.2015,67.8000
08.07.2015,66.7700
07.07.2015,65.3500
06.07.2015,67.4025
01.07.2015,68.7700
30.06.2015,69.8000
29.06.2015,70.8500
26.06.2015,73.4700
25.06.2015,73.3000
24.06.2015,73.2000
23.06.2015,73.3000
19.06.2015,71.2300
18.06.2015,71.1001
17.06.2015,71.3600
16.06.2015,71.2500
12.06.2015,71.4000
11.06.2015,72.7500
10.06.2015,73.4000
09.06.2015,74.2500
05.06.2015,74.3500
04.06.2015,76.3700
03.06.2015,76.6200
01.06.2015,75.5000
29.05.2015,76.8000
28.05.2015,77.0000
27.05.2015,77.1500
26.05.2015,75.5300
21.05.2015,78.0000
20.05.2015,77.2500
19.05.2015,78.3000
18.05.2015,77.3000
15.05.2015,77.8500
14.05.2015,78.3500
13.05.2015,77.1500
12.05.2015,75.6500
11.05.2015,76.0000
08.05.2015,76.3000
07.05.2015,75.7000
06.05.2015,77.2900
05.05.2015,75.4500
04.05.2015,75.0000
01.05.2015,74.8500
30.04.2015,74.3400
29.04.2015,74.4000
28.04.2015,76.0500
27.04.2015,76.5100
24.04.2015,75.7900
23.04.2015,75.0000
22.04.2015,75.4500
20.04.2015,75.0000
17.04.2015,75.5500
15.04.2015,77.0500
14.04.2015,77.1500
13.04.2015,77.2500
08.04.2015,78.7000
07.04.2015,81.5000
06.04.2015,81.5000
02.04.2015,80.6491
01.04.2015,79.3000
31.03.2015,76.8000
30.03.2015,78.9000
27.03.2015,78.2500
26.03.2015,76.5000
25.03.2015,78.5605
24.03.2015,80.0000
23.03.2015,80.0000
20.03.2015,79.8500
18.03.2015,78.9736
16.03.2015,79.5100
12.03.2015,75.8000
10.03.2015,75.0000
09.03.2015,77.4000
06.03.2015,78.7500
05.03.2015,79.8000
03.03.2015,80.0500
02.03.2015,78.8100
26.02.2015,80.8000
25.02.2015,81.4000
24.02.2015,81.1000
20.02.2015,81.5000
19.02.2015,81.5500
18.02.2015,79.6250
17.02.2015,79.1000
12.02.2015,77.7600
11.02.2015,76.6000
10.02.2015,76.1500
09.02.2015,76.6400
05.02.2015,78.5000
04.02.2015,78.4000
02.02.2015,76.6500
30.01.2015,76.6500
29.01.2015,76.8000
28.01.2015,75.3100
27.01.2015,76.9000
26.01.2015,77.9500
22.01.2015,76.9500
21.01.2015,77.3500
20.01.2015,74.5858
16.01.2015,72.0930
15.01.2015,71.6300
14.01.2015,71.7500
12.01.2015,70.0000
09.01.2015,69.7560
07.01.2015,68.6300
06.01.2015,68.7600
05.01.2015,68.5300
02.01.2015,71.5500
31.12.2014,72.1500
30.12.2014,72.8500
29.12.2014,74.1000
26.12.2014,73.8500
24.12.2014,74.8000
23.12.2014,75.0600
22.12.2014,72.9000
19.12.2014,73.9000
18.12.2014,73.9370
16.12.2014,73.9300
15.12.2014,71.3000
12.12.2014,73.3500
11.12.2014,76.4100
